,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,top51,top52,top53,top54,top55,top56,top57,top58,top59,top60,top61,top62,top63,top64,top65,top66,top67,top68,top69,top70,top71,top72,top73,top74,top75,top76,top77,top78,top79,top80,top81,top82,top83,top84,top85,top86,top87,top88,top89,top90,top91,top92,top93,top94,top95,top96,top97,top98,top99,top100,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH603993,SH600115,SH600029,SZ002493,SH600489,SH600482,SH600875,SH600547,SH600219,SH600176,SZ000630,SH600893,SH600362,SZ300251,SH601600,SH603799,SZ000301,SH600989,SH600346,SH600522,SH600010,SZ002384,SZ000338,SH600111,SH601111,SH601021,SH688396,SH601899,SH600026,SZ002601,SH600515,SZ300394,SH601100,SH601868,SH688169,SH601888,SH600025,SZ300442,SH688082,SZ000975,SH601898,SH600188,SH600760,SH601689,SZ002001,SZ302132,SH605117,SZ300316,SZ301236,SH600426,SH600674,SZ000408,SZ300347,SZ000807,SH600584,SH688111,SH600900,SH600588,SZ002028,SH601698,SH601006,SZ002459,SH600905,SZ300433,SZ300498,SZ002648,SH600886,SZ300413,SH600372,SH601012,SH601998,SH601872,SH601877,SH600027,SH600023,SH600309,SZ002463,SZ000768,SH600938,SZ300408,SH601985,SH688047,SH601838,SZ300803,SH688008,SH603392,SH600031,SH601939,SH601127,SH603986,SZ001965,SZ300014,SH601058,SZ002916,SZ003816,SH601166,SH600460,SH601808,SZ000983,SZ000792,0.01666015200316906,0.014023185,0.34,0.01598015200316906,1.015980152003169,1.0140232,1.015980152003169,0.0
1,2026-03-24,SH600115,SH600893,SZ300394,SH600029,SH600489,SH601021,SZ002493,SH600875,SZ000338,SZ002384,SH603799,SH600362,SZ000975,SZ000630,SH688008,SZ300316,SH603993,SH600346,SH600989,SH600515,SZ000301,SH601898,SH688111,SZ300418,SH600482,SH601698,SH688012,SZ300251,SH600584,SZ300433,SH688396,SH601111,SZ301269,SH603986,SH601689,SH688082,SH600026,SZ001965,SH600547,SZ002001,SZ300347,SZ002049,SH600036,SH600015,SH600900,SZ002601,SZ002625,SZ000895,SH600588,SH601058,SH601166,SZ002241,SZ002422,SH600023,SH600919,SH600150,SH601328,SH688169,SZ300413,SH600674,SZ002050,SZ000002,SZ002916,SH601888,SH601688,SH600886,SH603260,SH601006,SZ300498,SH600377,SH600938,SZ301236,SH600025,SZ000538,SZ000651,SZ002028,SH601988,SH600010,SH601838,SH601818,SH601939,SH600570,SH600219,SH688047,SH601628,SH601872,SH601100,SZ000768,SH601229,SH603893,SH600000,SH601916,SH600918,SH600018,SZ002600,SH603501,SH688506,SH600188,SH600233,SH600460,-0.012930379249155521,-0.013209939,0.33,-0.013590379249155522,1.0021725964278314,1.000628,1.015980152003169,-0.01359037924915542
2,2026-03-25,SZ002384,SH600989,SH601898,SH605117,SZ002493,SZ002001,SZ300316,SH600188,SH600029,SH603993,SH600482,SZ300661,SH601888,SH600026,SH688111,SH601916,SZ300418,SH600025,SZ002601,SH600900,SH601166,SZ000301,SH600115,SH601021,SH688082,SH600015,SH600036,SZ000001,SH601825,SZ300394,SH601939,SH600919,SH601236,SH601838,SZ003816,SH601328,SH601872,SH600018,SH601006,SH601100,SZ000651,SH601169,SH601698,SZ300413,SH601868,SH601818,SH601988,SH601229,SZ300750,SZ002459,SH600183,SH600362,SH600000,SH601985,SZ301269,SH600918,SZ300251,SH601012,SH600893,SZ000338,SH601009,SH603260,SH688396,SH600938,SZ002916,SZ300803,SH601658,SH600027,SZ002422,SH600515,SH600489,SH600886,SH601633,SH688126,SH601088,SZ002049,SZ300347,SH600674,SZ300498,SH600588,SH601628,SH600905,SZ000538,SH688169,SH600426,SH600600,SH601077,SZ300896,SH601360,SZ001965,SZ300408,SH600023,SH603392,SH601607,SH600584,SH601018,SH601877,SZ000895,SH601766,SH601398,0.0027628655079752207,0.005592346,0.24,0.0022828655079752207,1.0044604216812545,1.0062238,1.015980152003169,-0.011338538749208385
3,2026-03-26,SZ002384,SH605117,SH601898,SH600989,SZ300394,SH600893,SH600547,SH600115,SZ300316,SZ002001,SH601872,SH600875,SH600489,SZ000975,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600025,SH600023,SH600674,SZ003816,SH601888,SH600900,SH600015,SH601169,SH601021,SH601328,SZ000630,SH600584,SH601988,SH601006,SH601939,SZ300418,SZ000983,SH601658,SZ000001,SH600018,SZ300750,SH601838,SH600036,SZ002601,SH603993,SH600886,SH688111,SH601825,SH688082,SZ300442,SH600600,SH600938,SH601877,SH601398,SZ000895,SH600362,SZ002049,SH601229,SH601088,SH601009,SZ002028,SH601816,SH600188,SZ301269,SH600000,SH600029,SH601689,SH600104,SH601077,SH688396,SH601868,SH600377,SZ300413,SH688008,SH601018,SH600482,SH688126,SH688169,SH688012,SZ300408,SZ002074,SH601766,SZ000338,SH600515,SH600027,SH603893,SH600016,SZ300014,SZ002142,SH603799,SH600918,SH600926,SZ002938,SZ000651,SH601111,SZ002493,SZ300498,SH600183,SH600795,SH601100,SZ002625,-0.0007794570992700756,-0.002358675,0.29,-0.0013594570992700756,1.003094900830064,1.0038505,1.015980152003169,-0.012682581591480564
4,2026-03-27,SZ002384,SH601916,SH601166,SH600900,SH600115,SH600919,SH601988,SH605117,SH600025,SH601169,SZ002460,SH601868,SH600104,SZ002422,SH601818,SH600989,SH688082,SH600015,SH600674,SZ002493,SH600011,SH601898,SH601939,SH603993,SH600036,SZ001965,SZ000001,SH601328,SH601111,SH600029,SH601838,SH601398,SH601658,SH600362,SH600886,SZ000338,SH600183,SH600233,SH601825,SZ300433,SH600023,SH600016,SZ300316,SH601018,SH601006,SZ002001,SH600000,SH601816,SH600018,SH601021,SH601766,SH600600,SZ000895,SZ002466,SH601872,SZ300442,SZ002049,SH600887,SH601877,SH601628,SH601888,SH600219,SZ000630,SH600346,SH600027,SH688506,SH600905,SH603288,SH601077,SH603799,SZ000651,SH601100,SH600893,SH601229,SZ002625,SH600918,SH601985,SH600795,SZ300418,SH601009,SH600111,SZ002352,SH601668,SH603986,SH600377,SH601698,SH600926,SH600588,SZ002050,SH600026,SH601088,SH601225,SZ000708,SH600089,SH600188,SH601607,SZ300866,SH688169,SH601117,SH688009,-0.009424379095435143,-0.009327769,0.26,-0.009944379095435142,0.993119744867512,0.99448675,1.015980152003169,-0.022500840287661212
5,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SZ002384,SH600115,SH601916,SH600026,SZ301236,SH600029,SH600025,SH600919,SH601166,SH601111,SZ000001,SH600989,SZ000630,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,SH601018,SH600036,SH601328,SH601898,SZ300316,SH601658,SZ001965,SH603799,SH601006,SH600886,SH603893,SH601816,SH600160,SH600188,SH601825,SH601988,SZ000157,SZ301269,SH600887,SH600926,SH600875,SH600018,SH601058,SH600111,SH600016,SZ300418,SH601872,SZ002050,SH600674,SH600015,SH601229,SH688396,SH601077,SH600845,SH601021,SH601939,SH601888,SH688111,SH688082,SH600515,SZ300251,SH601398,SH600031,SH601009,SH688256,SH601668,SH688169,SZ002352,SH603288,SZ002049,SH601877,SZ000651,SH603260,SZ002916,SH600893,SZ002001,SH601689,SZ000895,SH601985,SZ300433,SH600377,SZ002600,SZ000425,SZ002142,SH600023,SZ002601,SH601607,SZ000301,SH601899,SH600905,SH688981,SH600000,SH688009,SZ002074,SZ000338,SZ300750,0.015240544453263283,0.01708293,0.26,0.014720544453263283,1.0077390082192477,1.0114754,1.015980152003169,-0.008111520454088235
6,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SZ000301,SH600900,SH601169,SH600029,SH601018,SH601166,SH601111,SH600887,SH601658,SH601816,SZ002601,SH601328,SZ000001,SH601838,SZ301269,SH601899,SH600489,SH600018,SH601988,SH600588,SH601668,SH601868,SH601006,SH600036,SH601229,SZ000895,SH600989,SH600377,SH600025,SH688082,SH600660,SH601021,SH601939,SZ000651,SH600016,SH600026,SH600219,SH605117,SH601916,SH601872,SH600346,SH601009,SH601607,SH600015,SZ002384,SZ301236,SH600104,SH600893,SH601398,SZ002625,SH601689,SZ002050,SH600886,SH601818,SH600023,SH603260,SH688111,SH601888,SH600600,SH601077,SH601600,SH600926,SH601825,SH600515,SZ001965,SZ300413,SH600918,SH600547,SH600111,SH600010,SZ000768,SZ002241,SH688169,SZ300502,SH601058,SH601100,SZ002230,SH600415,SZ000538,SZ300433,SH600160,SH603392,SH688396,SH601998,SH600183,SZ300896,SH600741,SH600674,SH600050,SZ300251,SZ000338,SH600161,SZ002304,-0.006816573906689882,-0.010419548,0.3,-0.007416573906689882,1.0002650373861353,1.0009363,1.015980152003169,-0.01546793466983474
7,2026-04-01,SH600115,SH603993,SZ002601,SH600029,SH600919,SZ300274,SH601169,SZ002493,SH601166,SZ000001,SH603799,SH601658,SH603501,SH600362,SH601868,SH601600,SH600887,SH600036,SH601328,SH600893,SZ003816,SH601838,SH601668,SZ000630,SH600588,SH601009,SH601816,SH605117,SH601018,SZ002625,SH601229,SH600219,SH688126,SH601006,SH600015,SH600372,SH688506,SH603260,SH600926,SZ000301,SH601607,SH601988,SZ002049,SH601939,SZ000538,SZ000895,SH600585,SH600018,SH600023,SH688008,SH601998,SZ300251,SZ000651,SH601888,SH601698,SH600918,SH600104,SH600900,SZ301269,SH600760,SH600570,SH600000,SH600010,SH601916,SZ002415,SZ300759,SH601077,SH601825,SH601186,SH600600,SH603392,SH600016,SZ301236,SH603195,SZ002142,SZ000333,SH600061,SH688169,SZ002600,SZ302132,SZ000768,SH600025,SZ000002,SH600183,SH600989,SH600489,SZ300433,SH688082,SH601390,SZ002241,SZ002027,SZ002236,SZ300408,SH601111,SH603893,SH600111,SH601456,SH601398,SZ300413,SH605499,-0.012289397418498993,-0.008511066,0.27,-0.012829397418498993,0.9874322396976788,0.9924172,1.015980152003169,-0.028098887807211027
8,2026-04-02,SZ000630,SH601169,SZ002601,SH603799,SH600489,SH600362,SH688082,SH601018,SH601816,SH603993,SH600919,SH600570,SH601166,SH600372,SH600887,SZ002050,SZ002493,SH601668,SH601328,SH600018,SZ002049,SH600547,SH601868,SH600115,SH601658,SH600036,SH600926,SZ300896,SZ301269,SH603893,SH600000,SZ002241,SH600061,SH601229,SH600183,SH601009,SH601838,SZ300433,SZ000001,SH603260,SZ002236,SH600150,SH688111,SZ002415,SH688396,SH600900,SZ000651,SH601006,SH600009,SZ002625,SZ002027,SH603195,SH601607,SZ000538,SH600600,SH601939,SH600515,SH601698,SH600585,SZ300413,SZ300251,SH601766,SZ003816,SZ002142,SH600161,SZ301236,SZ000768,SH688126,SZ300979,SH603501,SZ000002,SZ000301,SH600760,SH600519,SH600999,SZ300274,SH688187,SH688008,SZ002230,SH688169,SZ002600,SZ000895,SH600415,SH601788,SH601398,SH601628,SZ002252,SH600015,SH600588,SZ001965,SH601888,SH600377,SH600941,SH601298,SZ000063,SH603392,SH600029,SH600050,SH601059,SH601995,0.00027355493512004614,-3.8325787e-05,0.19,-0.00010644506487995388,0.9873271324088596,0.9923792,1.015980152003169,-0.028202341884155293
9,2026-04-03,SH603260,SH600362,SZ300274,SH600115,SZ002601,SH603501,SZ002493,SH603799,SZ301269,SH600570,SZ000538,SH603993,SH688082,SH600219,SZ002625,SZ002050,SH601600,SZ000630,SH600183,SH601169,SZ301236,SH600489,SH600887,SH600372,SZ000063,SZ002241,SH600919,SH600588,SH603893,SH688111,SZ300015,SZ300896,SZ000425,SH601698,SH600150,SH600926,SH601658,SH600029,SH601939,SH601166,SH600585,SH600160,SH601298,SH601668,SH601628,SZ300628,SH600893,SH600547,SH600600,SH601318,SZ002415,SH601018,SH601601,SH601816,SZ000002,SH601607,SZ000895,SH601059,SH601336,SH600018,SZ000768,SZ002236,SH600036,SH688126,SZ300979,SH601766,SH601328,SH688008,SH601888,SH600009,SH601009,SH601229,SZ000651,SH600941,SZ002230,SH600900,SH601633,SH688169,SZ000001,SH600760,SH601111,SZ002920,SH601006,SH600050,SH601838,SZ300832,SH603369,SH601456,SH600918,SH601688,SH601868,SH600999,SZ000568,SH688396,SZ002600,SH600415,SZ003816,SH600000,SZ300251,SH601788,0.0375380739569664,0.034891605,0.22,0.0370980739569664,1.023955067386683,1.0270048,1.023955067386683,0.0
