,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH603993,SH600115,SH600029,SZ002493,SH600489,SH600482,SH600875,SH600547,SH600219,SH600176,0.03434344381093979,0.014023185,0.5,0.03334344381093979,1.03334344381094,1.0140232,1.03334344381094,0.0
1,2026-03-24,SH600115,SH600893,SZ300394,SH600029,SH600489,SH601021,SZ002493,SH600875,SZ000338,SZ002384,-0.015714626759290695,-0.013209939,0.7,-0.017114626759290694,1.0156581564559557,1.000628,1.03334344381094,-0.01711462675929059
2,2026-03-25,SZ002384,SH600989,SH601898,SH605117,SZ002493,SZ002001,SZ300316,SH600188,SH600029,SH603993,0.0038392902351915836,0.005592346,0.4,0.0030392902351915837,1.0187450363731652,1.0062238,1.03334344381094,-0.014127352842087281
3,2026-03-26,SZ002384,SH605117,SH601898,SH600989,SZ300394,SH600893,SH600547,SH600115,SZ300316,SZ002001,0.010494207963347435,-0.002358675,0.7,0.009094207963347435,1.0280097155955705,1.0038505,1.03334344381094,-0.0051616219634575125
4,2026-03-27,SZ002384,SH601916,SH601166,SH600900,SH600115,SH600919,SH601988,SH605117,SH600025,SH601169,-0.0021337091457098722,-0.009327769,0.6,-0.003333709145709872,1.0245826302048109,0.99448675,1.03334344381094,-0.008478123762821192
5,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SZ002384,SH600115,SH601916,SH600026,SZ301236,0.03373280167579651,0.01708293,0.6,0.03253280167579651,1.0579151737137298,1.0114754,1.0579151737137298,0.0
6,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SZ000301,SH600900,SH601169,-0.012936567887663841,-0.010419548,0.5,-0.013936567887663842,1.0431714670758787,1.0009363,1.0579151737137298,-0.013936567887663833
7,2026-04-01,SH600115,SH603993,SZ002601,SH600029,SH600919,SZ300274,SH601169,SZ002493,SH601166,SZ000001,-0.014058816246688366,-0.008511066,0.7,-0.015458816246688366,1.0270452710525644,0.9924172,1.0579151737137298,-0.02917994129226731
8,2026-04-02,SZ000630,SH601169,SZ002601,SH603799,SH600489,SH600362,SH688082,SH601018,SH601816,SH603993,0.0017817914485931396,-3.8325787e-05,0.7,0.00038179144859313966,1.0274373881543701,0.9923792,1.0579151737137298,-0.028809290495730135
9,2026-04-03,SH603260,SH600362,SZ300274,SH600115,SZ002601,SH603501,SZ002493,SH603799,SZ301269,SH600570,0.04629458114504814,0.034891605,0.5,0.04529458114504814,1.0739747343035846,1.0270048,1.0739747343035846,0.0
10,2026-04-07,SH600893,SZ002493,SH603799,SZ300274,SH600219,SZ000630,SH601600,SH600489,SH600115,SH603260,-0.011271107010543346,-0.0063844323,0.7,-0.012671107010543347,1.060366285518604,1.020448,1.0739747343035846,-0.012671107010543343
11,2026-04-08,SH603993,SZ000630,SH603799,SH688396,SH600362,SZ301236,SH600893,SH601166,SH600887,SH601998,0.005005687475204468,0.015406609,0.6,0.003805687475204468,1.0644017082105313,1.0361696,1.0739747343035846,-0.008913641808585865
