,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH600674,SH600900,SH601006,SZ002459,SH600905,SZ300498,SH600886,SH601012,SH601998,SH600027,SH600023,SH601985,SH601838,SH601939,SZ001965,SZ300014,SZ003816,SH601166,SZ000983,SH601328,0.008981478400528431,0.014023185,0.5,0.00798147840052843,1.0079814784005285,1.0140232,1.0079814784005285,0.0
1,2026-03-24,SZ001965,SH600036,SH600015,SH600900,SZ000895,SH601166,SZ002422,SH600023,SH600919,SH601328,SH600674,SH600886,SH601006,SZ300498,SH600377,SZ000538,SZ000651,SH601988,SH601838,SH601818,0.0030402778647840023,-0.013209939,0.45,0.002140277864784002,1.0101388388468615,1.000628,1.0101388388468615,0.0
2,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ000001,SH601825,SH601939,SH600919,SH601236,SH601838,SZ003816,SH601328,SH600018,SH601006,SZ000651,SH601169,SH601818,SH601988,-0.003761532949283719,0.005592346,0.25,-0.0042615329492837195,1.0058340989017645,1.0062238,1.0101388388468615,-0.0042615329492836805
3,2026-03-26,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600023,SH600674,SZ003816,SH600900,SH600015,SH601169,SH601328,SH601988,SH601006,SH601939,SZ000983,SH601658,SZ000001,SH600018,SH601838,-0.0006235569599084556,-0.002358675,0.3,-0.0012235569599084554,1.00460340358954,1.0038505,1.0101388388468615,-0.005479875680892184
4,2026-03-27,SH601916,SH601166,SH600900,SH600919,SH601988,SH601169,SZ002460,SH600104,SZ002422,SH601818,SH600015,SH600674,SH600011,SH601939,SH600036,SZ001965,SZ000001,SH601328,SH601838,SH601398,0.00018090606317855418,-0.009327769,0.35,-0.0005190939368214458,1.0040819200538265,0.99448675,1.0101388388468615,-0.005996125047473089
5,2026-03-30,SH601916,SH600919,SH601166,SZ000001,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,SH600036,SH601328,SH601658,SZ001965,SH601006,SH600886,SH601816,SH601825,SH601988,SH600887,0.001195821212604642,0.01708293,0.35,0.0004958212126046419,1.004579765168982,1.0114754,1.0101388388468615,-0.005503276840860297
6,2026-03-31,SH600919,SH600900,SH601169,SH601166,SH600887,SH601658,SH601816,SH601328,SZ000001,SH601838,SH600018,SH601988,SH601668,SH601006,SH600036,SH601229,SZ000895,SH600377,SH600660,SH601939,0.007179698441177607,-0.010419548,0.25,0.006679698441177606,1.01129005506042,1.0009363,1.01129005506042,0.0
7,2026-04-01,SH600919,SH601169,SH601166,SZ000001,SH601658,SH600887,SH600036,SH601328,SH601838,SH601668,SH601009,SH601816,SH601229,SH601006,SH600015,SH600926,SH601607,SH601988,SH601939,SZ000538,-0.010574942454695702,-0.008511066,0.25,-0.011074942454695702,1.00009007589562,0.9924172,1.01129005506042,-0.011074942454695593
8,2026-04-02,SH601169,SH601816,SH600919,SH601166,SH600887,SH601668,SH601328,SH600018,SH601658,SH600036,SH600926,SH600061,SH601229,SH601009,SH601838,SZ000001,SZ002415,SH600900,SZ000651,SH601006,-0.005875238683074713,-3.8325787e-05,0.35,-0.006575238683074713,0.9935142449420319,0.9923792,1.01129005506042,-0.017577360747729406
9,2026-04-03,SZ000538,SH601169,SH600887,SH600919,SH600926,SH601658,SH601939,SH601166,SH601668,SH600600,SZ002415,SH601816,SH601607,SZ000895,SH601059,SH600018,SH600036,SH601766,SH601328,SH601009,0.009850328788161278,0.034891605,0.2,0.009450328788161278,1.0029032812124559,1.0270048,1.01129005506042,-0.00829314379786231
10,2026-04-07,SH600919,SH600926,SH601169,SZ000538,SH601658,SH600600,SZ000001,SH601166,SH601607,SH601838,SH601816,SH600887,SH601009,SH601668,SH601328,SH601988,SH600036,SZ000333,SH601766,SH600018,-0.009592106565833092,-0.0063844323,0.15,-0.009892106565833092,0.9929824550794786,1.020448,1.01129005506042,-0.018103213701481175
11,2026-04-08,SH601166,SH600887,SH601998,SH601816,SH600919,SH601169,SH601607,SZ000001,SH600926,SH600600,SZ000538,SH601838,SH601668,SH600036,SZ000651,SH601988,SH600018,SH601328,SH601633,SH601658,-0.00012989342212677002,0.015406609,0.25,-0.00062989342212677,0.9923569819627368,1.0361696,1.01129005506042,-0.018721704028377945
