,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH603993,SH600115,SH600029,SZ002493,SH600489,SH600482,SH600875,SH600547,SH600219,SH600176,SZ000630,SH600893,SH600362,SZ300251,SH601600,SH603799,SZ000301,SH600989,SH600346,SH600522,0.03187995404005051,0.014023185,0.4,0.031079954040050508,1.0310799540400506,1.0140232,1.0310799540400506,0.0
1,2026-03-24,SH600115,SH600893,SZ300394,SH600029,SH600489,SH601021,SZ002493,SH600875,SZ000338,SZ002384,SH603799,SH600362,SZ000975,SZ000630,SH688008,SZ300316,SH603993,SH600346,SH600989,SH600515,-0.018339106813073158,-0.013209939,0.7,-0.019739106813073157,1.0107273566944355,1.000628,1.0310799540400506,-0.019739106813073157
2,2026-03-25,SZ002384,SH600989,SH601898,SH605117,SZ002493,SZ002001,SZ300316,SH600188,SH600029,SH603993,SH600482,SZ300661,SH601888,SH600026,SH688111,SH601916,SZ300418,SH600025,SZ002601,SH600900,0.0033464401494711637,0.005592346,0.6,0.002146440149471164,1.0128968224730133,1.0062238,1.0310799540400506,-0.017635035474980278
3,2026-03-26,SZ002384,SH605117,SH601898,SH600989,SZ300394,SH600893,SH600547,SH600115,SZ300316,SZ002001,SH601872,SH600875,SH600489,SZ000975,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600025,0.009228954091668129,-0.002358675,0.55,0.008128954091668129,1.0211306142424927,1.0038505,1.0310799540400506,-0.009649435777093372
4,2026-03-27,SZ002384,SH601916,SH601166,SH600900,SH600115,SH600919,SH601988,SH605117,SH600025,SH601169,SZ002460,SH601868,SH600104,SZ002422,SH601818,SH600989,SH688082,SH600015,SH600674,SZ002493,-0.007575321011245251,-0.009327769,0.4,-0.008375321011245251,1.012578317553802,0.99448675,1.0310799540400506,-0.017943939666127996
5,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SZ002384,SH600115,SH601916,SH600026,SZ301236,SH600029,SH600025,SH600919,SH601166,SH601111,SZ000001,SH600989,SZ000630,SH600900,SH601169,0.021880125626921654,0.01708293,0.4,0.021080125626921655,1.033923595694933,1.0114754,1.033923595694933,0.0
6,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SZ000301,SH600900,SH601169,SH600029,SH601018,SH601166,SH601111,SH600887,SH601658,SH601816,SZ002601,SH601328,SZ000001,-0.008138284087181091,-0.010419548,0.3,-0.008738284087181091,1.024888877591311,1.0009363,1.033923595694933,-0.008738284087181108
7,2026-04-01,SH600115,SH603993,SZ002601,SH600029,SH600919,SZ300274,SH601169,SZ002493,SH601166,SZ000001,SH603799,SH601658,SH603501,SH600362,SH601868,SH601600,SH600887,SH600036,SH601328,SH600893,-0.015226796269416809,-0.008511066,0.5,-0.01622679626941681,1.0082582145758454,0.9924172,1.033923595694933,-0.02482328600097104
8,2026-04-02,SZ000630,SH601169,SZ002601,SH603799,SH600489,SH600362,SH688082,SH601018,SH601816,SH603993,SH600919,SH600570,SH601166,SH600372,SH600887,SZ002050,SZ002493,SH601668,SH601328,SH600018,0.0020483792759478092,-3.8325787e-05,0.5,0.0010483792759478092,1.009315251592811,0.9923792,1.033923595694933,-0.023800930943627452
9,2026-04-03,SH603260,SH600362,SZ300274,SH600115,SZ002601,SH603501,SZ002493,SH603799,SZ301269,SH600570,SZ000538,SH603993,SH688082,SH600219,SZ002625,SZ002050,SH601600,SZ000630,SH600183,SH601169,0.049390386790037155,0.034891605,0.35,0.048690386790037156,1.0584592015859486,1.0270048,1.0584592015859486,0.0
10,2026-04-07,SH600893,SZ002493,SH603799,SZ300274,SH600219,SZ000630,SH601600,SH600489,SH600115,SH603260,SH600919,SH600588,SZ000002,SH603501,SH600926,SH603993,SH601169,SZ301269,SZ002601,SZ301236,-0.012045323848724365,-0.0063844323,0.35,-0.012745323848724364,1.0449687962810734,1.020448,1.0584592015859486,-0.012745323848724439
11,2026-04-08,SH603993,SZ000630,SH603799,SH688396,SH600362,SZ301236,SH600893,SH601166,SH600887,SH601998,SH601816,SH600489,SH600115,SZ002601,SH600219,SZ002493,SH600919,SH601600,SH601169,SH601607,-0.002364629413932562,0.015406609,0.45,-0.003264629413932562,1.0415573604120925,1.0361696,1.0584592015859486,-0.01596834450353042
12,2026-04-09,SZ300896,SH600919,SZ301236,SH601998,SZ002601,SH600160,SH600926,SH600362,SZ300316,SZ000630,SH600893,SZ000001,SZ000002,SH600050,SH600372,SH601166,SH601169,SH601668,SH601816,SH603799,-4.837512824451551e-05,0.0020662546,0.4,-0.0008483751282445155,1.040673729052879,1.0383106,1.0584592015859486,-0.01680317248545882
13,2026-04-10,SZ002916,SH600919,SZ003816,SH600219,SZ301236,SH600362,SZ000630,SH601998,SH600887,SZ002074,SH600926,SH601916,SZ002601,SH601668,SH601919,SH601169,SH601166,SZ002493,SH600160,SZ000002,0.014721435494720936,0.011865735,0.5,0.013721435494720935,1.0549532664971288,1.0506309,1.0584592015859486,-0.003312300638103634
