,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH603993,SH600115,SH600029,SZ002493,SH600489,SH600482,SH600875,SH600547,SH600219,SH600176,SZ000630,SH600893,SH600362,SZ300251,SH601600,SH603799,SZ000301,SH600989,SH600346,SH600522,SH600010,SZ002384,SZ000338,SH600111,SH601111,SH601021,SH688396,SH601899,SH600026,SZ002601,0.029303735122084618,0.014023185,0.4,0.02850373512208462,1.0285037351220847,1.0140232,1.0285037351220847,0.0
1,2026-03-24,SH600115,SH600893,SZ300394,SH600029,SH600489,SH601021,SZ002493,SH600875,SZ000338,SZ002384,SH603799,SH600362,SZ000975,SZ000630,SH688008,SZ300316,SH603993,SH600346,SH600989,SH600515,SZ000301,SH601898,SH688111,SZ300418,SH600482,SH601698,SH688012,SZ300251,SH600584,SZ300433,-0.016162719577550888,-0.013209939,0.5333333333333333,-0.017229386244217555,1.0107832470160458,1.000628,1.0285037351220847,-0.01722938624421761
2,2026-03-25,SZ002384,SH600989,SH601898,SH605117,SZ002493,SZ002001,SZ300316,SH600188,SH600029,SH603993,SH600482,SZ300661,SH601888,SH600026,SH688111,SH601916,SZ300418,SH600025,SZ002601,SH600900,SH601166,SZ000301,SH600115,SH601021,SH688082,SH600015,SH600036,SZ000001,SH601825,SZ300394,0.0020637591369450092,0.005592346,0.5,0.0010637591369450092,1.01185847693053,1.0062238,1.0285037351220847,-0.01618395502431383
3,2026-03-26,SZ002384,SH605117,SH601898,SH600989,SZ300394,SH600893,SH600547,SH600115,SZ300316,SZ002001,SH601872,SH600875,SH600489,SZ000975,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600025,SH600023,SH600674,SZ003816,SH601888,SH600900,SH600015,SH601169,SH601021,SH601328,SZ000630,0.004577972460538149,-0.002358675,0.4666666666666667,0.0036446391272048156,1.0155463359267451,1.0038505,1.0285037351220847,-0.012598300572823393
4,2026-03-27,SZ002384,SH601916,SH601166,SH600900,SH600115,SH600919,SH601988,SH605117,SH600025,SH601169,SZ002460,SH601868,SH600104,SZ002422,SH601818,SH600989,SH688082,SH600015,SH600674,SZ002493,SH600011,SH601898,SH601939,SH603993,SH600036,SZ001965,SZ000001,SH601328,SH601111,SH600029,-0.008098733611404896,-0.009327769,0.3,-0.008698733611404896,1.00671236888048,0.99448675,1.0285037351220847,-0.021187444923588976
5,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SZ002384,SH600115,SH601916,SH600026,SZ301236,SH600029,SH600025,SH600919,SH601166,SH601111,SZ000001,SH600989,SZ000630,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,SH601018,SH600036,SH601328,SH601898,SZ300316,SH601658,0.016994241625070572,0.01708293,0.43333333333333335,0.016127574958403904,1.0229481980711523,1.0114754,1.0285037351220847,-0.005401572071367266
6,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SZ000301,SH600900,SH601169,SH600029,SH601018,SH601166,SH601111,SH600887,SH601658,SH601816,SZ002601,SH601328,SZ000001,SH601838,SZ301269,SH601899,SH600489,SH600018,SH601988,SH600588,SH601668,SH601868,SH601006,-0.008345614187419415,-0.010419548,0.3,-0.008945614187419414,1.0137972981574919,1.0009363,1.0285037351220847,-0.014298865879030733
7,2026-04-01,SH600115,SH603993,SZ002601,SH600029,SH600919,SZ300274,SH601169,SZ002493,SH601166,SZ000001,SH603799,SH601658,SH603501,SH600362,SH601868,SH601600,SH600887,SH600036,SH601328,SH600893,SZ003816,SH601838,SH601668,SZ000630,SH600588,SH601009,SH601816,SH605117,SH601018,SZ002625,-0.014022900722920895,-0.008511066,0.4,-0.014822900722920895,0.9987698814537379,0.9924172,1.0285037351220847,-0.028909815932576417
8,2026-04-02,SZ000630,SH601169,SZ002601,SH603799,SH600489,SH600362,SH688082,SH601018,SH601816,SH603993,SH600919,SH600570,SH601166,SH600372,SH600887,SZ002050,SZ002493,SH601668,SH601328,SH600018,SZ002049,SH600547,SH601868,SH600115,SH601658,SH600036,SH600926,SZ300896,SZ301269,SH603893,0.0002501666604075581,-3.8325787e-05,0.43333333333333335,-0.0006165000062591087,0.9981541398155702,0.9923792,1.0285037351220847,-0.02950849303713219
9,2026-04-03,SH603260,SH600362,SZ300274,SH600115,SZ002601,SH603501,SZ002493,SH603799,SZ301269,SH600570,SZ000538,SH603993,SH688082,SH600219,SZ002625,SZ002050,SH601600,SZ000630,SH600183,SH601169,SZ301236,SH600489,SH600887,SH600372,SZ000063,SZ002241,SH600919,SH600588,SH603893,SH688111,0.05025044456124306,0.034891605,0.3,0.049650444561243054,1.0477129365980584,1.0270048,1.0477129365980584,0.0
