,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH600674,SH600900,SH601006,SZ002459,SH600905,SZ300498,SH600886,SH601012,SH601998,SH600027,SH600023,SH601985,SH601838,SH601939,SZ001965,SZ300014,SZ003816,SH601166,SZ000983,SH601328,SH600036,SH600015,SH600104,SH600919,SH600011,SZ002074,SZ000999,SH601077,SH601919,SH601916,SH601236,SH601229,SH601988,SZ000708,SH600930,SZ000895,SZ002422,SH601825,SZ300750,SZ000617,SZ000651,SH601633,SH601818,SH600377,SH600039,SZ002594,SH600887,SH601878,SZ002460,SZ000333,0.008175027556717396,0.014023185,0.28,0.007615027556717396,1.0076150275567175,1.0140232,1.0076150275567175,0.0
1,2026-03-24,SZ001965,SH600036,SH600015,SH600900,SZ000895,SH601166,SZ002422,SH600023,SH600919,SH601328,SH600674,SH600886,SH601006,SZ300498,SH600377,SZ000538,SZ000651,SH601988,SH601838,SH601818,SH601939,SH601229,SH601916,SH600918,SH600018,SH601009,SH601236,SZ002459,SZ003816,SH601169,SH601825,SH601658,SH601919,SZ300750,SH600905,SH601998,SH601985,SH600941,SH601816,SH600926,SH601012,SH601901,SZ002371,SH600887,SH601077,SH601607,SZ000166,SH600011,SH600050,SH600104,-0.00175024988129735,-0.013209939,0.16,-0.00207024988129735,1.0055290126655247,1.000628,1.0076150275567175,-0.002070249881297385
2,2026-03-25,SZ300661,SH601916,SH600900,SH601166,SH600015,SH600036,SZ000001,SH601825,SH601939,SH600919,SH601236,SH601838,SZ003816,SH601328,SH600018,SH601006,SZ000651,SH601169,SH601818,SH601988,SH601229,SZ002459,SH601985,SH600918,SH601012,SH601009,SH601658,SH600027,SZ002422,SH600886,SH601633,SH600674,SZ300498,SH600905,SZ000538,SH600600,SH601077,SZ001965,SH600023,SH601607,SZ000895,SH601766,SH601398,SH600377,SH600011,SH600104,SZ000166,SH601390,SH600887,SH601816,-0.0009194231242872775,0.005592346,0.18,-0.0012794231242872775,1.0042425155945787,1.0062238,1.0076150275567175,-0.00334702428001353
3,2026-03-26,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600023,SH600674,SZ003816,SH600900,SH600015,SH601169,SH601328,SH601988,SH601006,SH601939,SZ000983,SH601658,SZ000001,SH600018,SH601838,SH600036,SH600886,SH601825,SH600600,SH601398,SZ000895,SH601229,SH601009,SH601816,SH600104,SH601077,SH600377,SZ002074,SH601766,SH600027,SH600016,SZ300014,SZ002142,SH600918,SH600926,SZ000651,SZ300498,SH601236,SH600011,SH601998,SH688009,SH601985,SH600887,SH601633,SZ000708,-0.0036993431858718395,-0.002358675,0.18,-0.00405934318587184,1.000165950581937,1.0038505,1.0076150275567175,-0.007392780745681454
4,2026-03-27,SH601916,SH601166,SH600900,SH600919,SH601988,SH601169,SZ002460,SH600104,SZ002422,SH601818,SH600015,SH600674,SH600011,SH601939,SH600036,SZ001965,SZ000001,SH601328,SH601838,SH601398,SH601658,SH600886,SH601825,SH600023,SH600016,SH601006,SH601816,SH600018,SH601766,SH600600,SZ000895,SH600887,SH600027,SH600905,SH603288,SH601077,SZ000651,SH601229,SH600918,SH601985,SH601009,SZ002352,SH601668,SH600377,SH600926,SZ000708,SH601607,SH688009,SH601012,SZ002415,0.0003453254757914692,-0.009327769,0.14,6.532547579146919e-05,1.000231286898529,0.99448675,1.0076150275567175,-0.007327938206809697
5,2026-03-30,SH601916,SH600919,SH601166,SZ000001,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,SH600036,SH601328,SH601658,SZ001965,SH601006,SH600886,SH601816,SH601825,SH601988,SH600887,SH600926,SH600018,SH600016,SH600674,SH600015,SH601229,SH601077,SH601939,SH601398,SH601009,SH601668,SZ002352,SH603288,SZ000651,SZ000895,SH601985,SH600377,SZ002142,SH600023,SH601607,SH600905,SH688009,SZ002074,SH600918,SZ300498,SH600066,SZ000858,SH601998,SZ002422,SH600660,0.0009087681537494063,0.01708293,0.1,0.0007087681537494064,1.0009402189810666,1.0114754,1.0076150275567175,-0.006624363862293856
6,2026-03-31,SH600919,SH600900,SH601169,SH601166,SH600887,SH601658,SH601816,SH601328,SZ000001,SH601838,SH600018,SH601988,SH601668,SH601006,SH600036,SH601229,SZ000895,SH600377,SH600660,SH601939,SZ000651,SH600016,SH601916,SH601009,SH601607,SH600015,SH600104,SH601398,SH600886,SH601818,SH600023,SH600600,SH601077,SH600926,SH601825,SZ001965,SH600918,SZ000538,SH601998,SH600741,SH600674,SH600161,SZ300498,SH601186,SH601985,SZ002352,SZ000858,SZ002142,SH600039,SH603288,0.0054235015995800495,-0.010419548,0.18,0.0050635015995800494,1.0060084813809613,1.0009363,1.0076150275567175,-0.0015944047397265949
7,2026-04-01,SH600919,SH601169,SH601166,SZ000001,SH601658,SH600887,SH600036,SH601328,SH601838,SH601668,SH601009,SH601816,SH601229,SH601006,SH600015,SH600926,SH601607,SH601988,SH601939,SZ000538,SZ000895,SH600018,SH600023,SH601998,SZ000651,SH600918,SH600104,SH600900,SH601916,SZ002415,SH601077,SH601825,SH601186,SH600600,SH600016,SH603195,SZ002142,SZ000333,SH600061,SH601390,SH601456,SH601398,SZ000858,SH601766,SH600519,SZ002352,SH600019,SH600161,SH601818,SH600886,-0.012117087841033936,-0.008511066,0.18,-0.012477087841033935,0.9934564251899459,0.9924172,1.0076150275567175,-0.014051599052768798
8,2026-04-02,SH601169,SH601816,SH600919,SH601166,SH600887,SH601668,SH601328,SH600018,SH601658,SH600036,SH600926,SH600061,SH601229,SH601009,SH601838,SZ000001,SZ002415,SH600900,SZ000651,SH601006,SH603195,SH601607,SZ000538,SH600600,SH601939,SH601766,SZ002142,SH600161,SH600519,SH600999,SZ000895,SH601398,SZ002252,SH600015,SZ001965,SH600377,SH600941,SH601059,SH601995,SH601818,SH600019,SZ002352,SH601186,SH601988,SH600104,SH601916,SH601633,SH601825,SZ000333,SZ000725,-0.006253495346754789,-3.8325787e-05,0.16,-0.006573495346754789,0.9869259440017562,0.9923792,1.0076150275567175,-0.020532726278535765
9,2026-04-03,SZ000538,SH601169,SH600887,SH600919,SH600926,SH601658,SH601939,SH601166,SH601668,SH600600,SZ002415,SH601816,SH601607,SZ000895,SH601059,SH600018,SH600036,SH601766,SH601328,SH601009,SH601229,SZ000651,SH600941,SH600900,SH601633,SZ000001,SH601006,SH601838,SH601456,SH600918,SH600999,SH601995,SH601916,SZ000725,SZ000333,SZ002142,SH600015,SZ000166,SH601998,SH600519,SZ001391,SH601825,SZ002352,SH600023,SZ000999,SH601077,SH600061,SH601186,SH601398,SH601818,0.01303853653371334,0.034891605,0.12,0.01279853653371334,0.9995571517521321,1.0270048,1.0076150275567175,-0.00799697859223504
10,2026-04-07,SH600919,SH600926,SH601169,SZ000538,SH601658,SH600600,SZ000001,SH601166,SH601607,SH601838,SH601816,SH600887,SH601009,SH601668,SH601328,SH601988,SH600036,SZ000333,SH601766,SH600018,SZ002352,SH600999,SH601825,SH601998,SH601939,SZ002142,SZ000651,SH601916,SH600061,SH601229,SH600900,SH601006,SZ000166,SH601633,SZ002252,SH600941,SH601186,SZ000895,SZ002415,SH601059,SH600085,SH600161,SH601077,SH601818,SH600918,SH601456,SH600015,SZ000858,SH601995,SH600436,-0.010881253518164158,-0.0063844323,0.18,-0.011241253518164157,0.9883208764033923,1.020448,1.0076150275567175,-0.019148336046664584
11,2026-04-08,SH601166,SH600887,SH601998,SH601816,SH600919,SH601169,SH601607,SZ000001,SH600926,SH600600,SZ000538,SH601838,SH601668,SH600036,SZ000651,SH601988,SH600018,SH601328,SH601633,SH601658,SH601728,SH600941,SZ002352,SH601077,SZ000895,SH601006,SH600741,SH601939,SH600015,SZ000858,SH601825,SH603288,SH601229,SZ000333,SH601009,SH600900,SH601919,SH601916,SH601818,SH600660,SH600918,SH600061,SH601766,SH601059,SH601398,SZ002142,SH600085,SH600585,SH600104,SH600519,0.0020756064914166927,0.015406609,0.2,0.0016756064914166928,0.9899769132794964,1.0361696,1.0076150275567175,-0.01750481463142751
