,date,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35,top36,top37,top38,top39,top40,top41,top42,top43,top44,top45,top46,top47,top48,top49,top50,avg_real_label,csi300_real_label,turnover_rate,daily_net_ret,strategy_equity,csi300_equity,max_equity,drawdown
0,2026-03-23,SH603993,SH600115,SH600029,SZ002493,SH600489,SH600482,SH600875,SH600547,SH600219,SH600176,SZ000630,SH600893,SH600362,SZ300251,SH601600,SH603799,SZ000301,SH600989,SH600346,SH600522,SH600010,SZ002384,SZ000338,SH600111,SH601111,SH601021,SH688396,SH601899,SH600026,SZ002601,SH600515,SZ300394,SH601100,SH601868,SH688169,SH601888,SH600025,SZ300442,SH688082,SZ000975,SH601898,SH600188,SH600760,SH601689,SZ002001,SZ302132,SH605117,SZ300316,SZ301236,SH600426,0.020941169932484627,0.014023185,0.38,0.020181169932484627,1.0201811699324845,1.0140232,1.0201811699324845,0.0
1,2026-03-24,SH600115,SH600893,SZ300394,SH600029,SH600489,SH601021,SZ002493,SH600875,SZ000338,SZ002384,SH603799,SH600362,SZ000975,SZ000630,SH688008,SZ300316,SH603993,SH600346,SH600989,SH600515,SZ000301,SH601898,SH688111,SZ300418,SH600482,SH601698,SH688012,SZ300251,SH600584,SZ300433,SH688396,SH601111,SZ301269,SH603986,SH601689,SH688082,SH600026,SZ001965,SH600547,SZ002001,SZ300347,SZ002049,SH600036,SH600015,SH600900,SZ002601,SZ002625,SZ000895,SH600588,SH601058,-0.016701173037290573,-0.013209939,0.56,-0.017821173037290573,1.0020003447737322,1.000628,1.0201811699324845,-0.017821173037290527
2,2026-03-25,SZ002384,SH600989,SH601898,SH605117,SZ002493,SZ002001,SZ300316,SH600188,SH600029,SH603993,SH600482,SZ300661,SH601888,SH600026,SH688111,SH601916,SZ300418,SH600025,SZ002601,SH600900,SH601166,SZ000301,SH600115,SH601021,SH688082,SH600015,SH600036,SZ000001,SH601825,SZ300394,SH601939,SH600919,SH601236,SH601838,SZ003816,SH601328,SH601872,SH600018,SH601006,SH601100,SZ000651,SH601169,SH601698,SZ300413,SH601868,SH601818,SH601988,SH601229,SZ300750,SZ002459,0.0012179792392998934,0.005592346,0.3,0.0006179792392998934,1.0026195601845738,1.0062238,1.0201811699324845,-0.01721420691294762
3,2026-03-26,SZ002384,SH605117,SH601898,SH600989,SZ300394,SH600893,SH600547,SH600115,SZ300316,SZ002001,SH601872,SH600875,SH600489,SZ000975,SH601916,SH600919,SZ001965,SH601166,SH601818,SH600025,SH600023,SH600674,SZ003816,SH601888,SH600900,SH600015,SH601169,SH601021,SH601328,SZ000630,SH600584,SH601988,SH601006,SH601939,SZ300418,SZ000983,SH601658,SZ000001,SH600018,SZ300750,SH601838,SH600036,SZ002601,SH603993,SH600886,SH688111,SH601825,SH688082,SZ300442,SH600600,0.0023487508296966553,-0.002358675,0.36,0.0016287508296966553,1.0042525776250943,1.0038505,1.0201811699324845,-0.015613493737043137
4,2026-03-27,SZ002384,SH601916,SH601166,SH600900,SH600115,SH600919,SH601988,SH605117,SH600025,SH601169,SZ002460,SH601868,SH600104,SZ002422,SH601818,SH600989,SH688082,SH600015,SH600674,SZ002493,SH600011,SH601898,SH601939,SH603993,SH600036,SZ001965,SZ000001,SH601328,SH601111,SH600029,SH601838,SH601398,SH601658,SH600362,SH600886,SZ000338,SH600183,SH600233,SH601825,SZ300433,SH600023,SH600016,SZ300316,SH601018,SH601006,SZ002001,SH600000,SH601816,SH600018,SH601021,-0.007547350134700537,-0.009327769,0.32,-0.008187350134700537,0.9960304101484022,0.99448675,1.0201811699324845,-0.023673010731692503
5,2026-03-30,SH603993,SZ002493,SH600362,SH605117,SH601868,SZ002384,SH600115,SH601916,SH600026,SZ301236,SH600029,SH600025,SH600919,SH601166,SH601111,SZ000001,SH600989,SZ000630,SH600900,SH601169,SH601818,SH600104,SH600600,SH601838,SH601018,SH600036,SH601328,SH601898,SZ300316,SH601658,SZ001965,SH603799,SH601006,SH600886,SH603893,SH601816,SH600160,SH600188,SH601825,SH601988,SZ000157,SZ301269,SH600887,SH600926,SH600875,SH600018,SH601058,SH600111,SH600016,SZ300418,0.016088254749774933,0.01708293,0.38,0.015328254749774933,1.0112978180136796,1.0114754,1.0201811699324845,-0.008707621921107267
6,2026-03-31,SH603993,SZ002493,SH600115,SH603799,SZ000630,SH600919,SH600362,SZ000301,SH600900,SH601169,SH600029,SH601018,SH601166,SH601111,SH600887,SH601658,SH601816,SZ002601,SH601328,SZ000001,SH601838,SZ301269,SH601899,SH600489,SH600018,SH601988,SH600588,SH601668,SH601868,SH601006,SH600036,SH601229,SZ000895,SH600989,SH600377,SH600025,SH688082,SH600660,SH601021,SH601939,SZ000651,SH600016,SH600026,SH600219,SH605117,SH601916,SH601872,SH600346,SH601009,SH601607,-0.0030214262660592794,-0.010419548,0.34,-0.0037014262660592795,1.0075545737072753,1.0009363,1.0201811699324845,-0.012376817566672846
7,2026-04-01,SH600115,SH603993,SZ002601,SH600029,SH600919,SZ300274,SH601169,SZ002493,SH601166,SZ000001,SH603799,SH601658,SH603501,SH600362,SH601868,SH601600,SH600887,SH600036,SH601328,SH600893,SZ003816,SH601838,SH601668,SZ000630,SH600588,SH601009,SH601816,SH605117,SH601018,SZ002625,SH601229,SH600219,SH688126,SH601006,SH600015,SH600372,SH688506,SH603260,SH600926,SZ000301,SH601607,SH601988,SZ002049,SH601939,SZ000538,SZ000895,SH600585,SH600018,SH600023,SH688008,-0.014069218188524246,-0.008511066,0.42,-0.014909218188524247,0.992532722731028,0.9924172,1.0201811699324845,-0.027101507081616013
8,2026-04-02,SZ000630,SH601169,SZ002601,SH603799,SH600489,SH600362,SH688082,SH601018,SH601816,SH603993,SH600919,SH600570,SH601166,SH600372,SH600887,SZ002050,SZ002493,SH601668,SH601328,SH600018,SZ002049,SH600547,SH601868,SH600115,SH601658,SH600036,SH600926,SZ300896,SZ301269,SH603893,SH600000,SZ002241,SH600061,SH601229,SH600183,SH601009,SH601838,SZ300433,SZ000001,SH603260,SZ002236,SH600150,SH688111,SZ002415,SH688396,SH600900,SZ000651,SH601006,SH600009,SZ002625,0.0030660617630928755,-3.8325787e-05,0.42,0.0022260617630928754,0.994742161873718,0.9923792,1.0201811699324845,-0.024935774947159713
9,2026-04-03,SH603260,SH600362,SZ300274,SH600115,SZ002601,SH603501,SZ002493,SH603799,SZ301269,SH600570,SZ000538,SH603993,SH688082,SH600219,SZ002625,SZ002050,SH601600,SZ000630,SH600183,SH601169,SZ301236,SH600489,SH600887,SH600372,SZ000063,SZ002241,SH600919,SH600588,SH603893,SH688111,SZ300015,SZ300896,SZ000425,SH601698,SH600150,SH600926,SH601658,SH600029,SH601939,SH601166,SH600585,SH600160,SH601298,SH601668,SH601628,SZ300628,SH600893,SH600547,SH600600,SH601318,0.044835519045591354,0.034891605,0.28,0.044275519045591356,1.0387848874072105,1.0270048,1.0387848874072105,0.0
