,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600115,0.1427985384353777,0.875,-0.016447365,0.15924590371934377,0.15924590371934377,SH600115,中国东航,2026-03-24,0.530136,0.54293567
1,1,SH600893,0.1423132534165489,0.875,-0.031825304,0.17413855744792098,0.17413855744792098,SH600893,航发动力,2026-03-24,6.401721,6.4552245
2,2,SZ300394,0.1341805815774963,0.75,0.021693826,0.11248675585575557,0.11248675585575557,,,2026-03-24,32.947395,35.11229
3,3,SH600029,0.1318489978105093,0.875,-0.012232423,0.1440814206391836,0.1440814206391836,SH600029,南方航空,2026-03-24,1.1098188,1.1423897
4,4,SH600489,0.1227802063425323,0.6875,-0.018811285,0.14159149183829034,0.14159149183829034,SH600489,中金黄金,2026-03-24,58.12296,58.71482
5,5,SH601021,0.1224950334262498,0.9375,0.006146908,0.11634812561985332,0.11634812561985332,SH601021,春秋航空,2026-03-24,0.3035516,0.3121118
6,6,SZ002493,0.1223881811173951,0.8125,-0.009210706,0.13159888687453622,0.13159888687453622,,,2026-03-24,0.7294336,0.75078917
7,7,SH600875,0.1192851845184767,0.5625,-0.030158937,0.14944412149586317,0.14944412149586317,SH600875,东方电气,2026-03-24,7.515936,7.515561
8,8,SZ000338,0.1086271563390324,0.75,-0.030177593,0.1388047495702336,0.1388047495702336,,,2026-03-24,3.1975596,3.2249577
9,9,SZ002384,0.1060281126042577,0.625,-0.036123395,0.1421515075703832,0.1421515075703832,,,2026-03-24,1.2854847,1.2986981
10,10,SH603799,0.1045899444231961,0.625,-0.014695227,0.11928517156934478,0.11928517156934478,SH603799,华友钴业,2026-03-24,8.19024,8.30329
11,11,SH600362,0.0969031491748741,0.875,-0.011869729,0.10877287774009016,0.10877287774009016,SH600362,江西铜业,2026-03-24,7.023586,7.1158686
12,12,SZ000975,0.0960411004643604,0.6875,-0.021142542,0.11718364282657354,0.11718364282657354,,,2026-03-24,15.616455,15.747467
13,13,SZ000630,0.0913797042212646,0.6875,-0.022005618,0.11338532183982539,0.11338532183982539,,,2026-03-24,22.033525,22.182245
14,14,SH688008,0.0880323283762391,0.8125,-0.035326242,0.12335857082313852,0.12335857082313852,SH688008,澜起科技,2026-03-24,0.026872098,0.026555505
15,15,SZ300316,0.0864678344849477,0.75,-0.028633475,0.1151013097885976,0.1151013097885976,,,2026-03-24,3.3984733,3.4153972
16,16,SH603993,0.0812234944424707,0.9375,-0.022306502,0.10352999630785767,0.10352999630785767,SH603993,洛阳钼业,2026-03-24,2.6176279,2.6457117
17,17,SH600346,0.0801928903922884,0.9375,-0.017202258,0.09739514850233479,0.09739514850233479,SH600346,恒力石化,2026-03-24,7.8230557,7.89958
18,18,SH600989,0.0751701262868296,0.6875,-0.0181818,0.09335192712911476,0.09335192712911476,SH600989,宝丰能源,2026-03-24,0.16938381,0.17226492
